id,name,rank,city_id,image
142,University Of Fort Hare,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/95/95246_thumb.jpg"
143,Edith Cowan University,651,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/129049_ECU_AUS_logo_C1.png"
144,Eae Business School,NULL,725.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/154140_1593369478logoeae.jpg"
145,London School Of International Business Lsib,NULL,119.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/93/93444_thumb.jpg"
146,The University Of Texas At Dallas,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/142710_142555_logo.png"
147,Iseb Instituto Superior Europeo De Barcelona,NULL,725.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/11/114462_ISEB_logo.jpg"
148,Ku Leuven,70,NULL,NULL
149,Saint Josephs University,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/17/171667_171624_SJU_Letter-mark_RGBnewlogo.jpg"
150,University Of Portsmouth Online,651,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/13/138392_portsmouth.jpg"
151,Iberoamerican University Unibe,NULL,201.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/153764_UNIBE.jpeg"
